 ,Proportion_ColdStart,Proportion_ColdStart+,Proportion_Increment,Proportion_Increment+,Proportion_MovingWindow,Proportion_MovingWindow+,SZZ_B,SZZ_B+,SZZ_RA,SZZ_RA+,SZZ_U,SZZ_U+,Simple,LLM4SZZ
Proportion_ColdStart,1.0,1.0,0.6958579881656805,0.6958579881656805,0.5971443141254462,0.5971443141254462,0.24172661870503598,0.24172661870503598,0.23499780989925537,0.23499780989925537,0.24391765439800375,0.24391765439800375,0.4846938775510204,0.2656364974245769
Proportion_ColdStart+,1.0,1.0,0.6958579881656805,0.6958579881656805,0.5971443141254462,0.5971443141254462,0.24172661870503598,0.24172661870503598,0.23499780989925537,0.23499780989925537,0.24391765439800375,0.24391765439800375,0.4846938775510204,0.2656364974245769
Proportion_Increment,0.6958579881656805,0.6958579881656805,1.0,1.0,0.7630560928433269,0.7630560928433269,0.3473792394655704,0.3473792394655704,0.33499674549793884,0.33499674549793884,0.34995843724023273,0.34995843724023273,0.33727810650887574,0.3652550529355149
Proportion_Increment+,0.6958579881656805,0.6958579881656805,1.0,1.0,0.7630560928433269,0.7630560928433269,0.3473792394655704,0.3473792394655704,0.33499674549793884,0.33499674549793884,0.34995843724023273,0.34995843724023273,0.33727810650887574,0.3652550529355149
Proportion_MovingWindow,0.5971443141254462,0.5971443141254462,0.7630560928433269,0.7630560928433269,1.0,1.0,0.4020554984583762,0.4020554984583762,0.3780592528982396,0.3780592528982396,0.40348692403486924,0.40348692403486924,0.29141104294478526,0.41092636579572445
Proportion_MovingWindow+,0.5971443141254462,0.5971443141254462,0.7630560928433269,0.7630560928433269,1.0,1.0,0.4020554984583762,0.4020554984583762,0.3780592528982396,0.3780592528982396,0.40348692403486924,0.40348692403486924,0.29141104294478526,0.41092636579572445
SZZ_B,0.24172661870503598,0.24172661870503598,0.3473792394655704,0.3473792394655704,0.4020554984583762,0.4020554984583762,1.0,1.0,0.9173689619732786,0.9173689619732786,0.9878725590955807,0.9878725590955807,0.1171634121274409,0.8189105858170607
SZZ_B+,0.24172661870503598,0.24172661870503598,0.3473792394655704,0.3473792394655704,0.4020554984583762,0.4020554984583762,1.0,1.0,0.9173689619732786,0.9173689619732786,0.9878725590955807,0.9878725590955807,0.1171634121274409,0.8189105858170607
SZZ_RA,0.23499780989925537,0.23499780989925537,0.33499674549793884,0.33499674549793884,0.3780592528982396,0.3780592528982396,0.9173689619732786,0.9173689619732786,1.0,1.0,0.9138963452405534,0.9138963452405534,0.11374197831378624,0.782443553492298
SZZ_RA+,0.23499780989925537,0.23499780989925537,0.33499674549793884,0.33499674549793884,0.3780592528982396,0.3780592528982396,0.9173689619732786,0.9173689619732786,1.0,1.0,0.9138963452405534,0.9138963452405534,0.11374197831378624,0.782443553492298
SZZ_U,0.24391765439800375,0.24391765439800375,0.34995843724023273,0.34995843724023273,0.40348692403486924,0.40348692403486924,0.9878725590955807,0.9878725590955807,0.9138963452405534,0.9138963452405534,1.0,1.0,0.11860174781523096,0.8127448958548155
SZZ_U+,0.24391765439800375,0.24391765439800375,0.34995843724023273,0.34995843724023273,0.40348692403486924,0.40348692403486924,0.9878725590955807,0.9878725590955807,0.9138963452405534,0.9138963452405534,1.0,1.0,0.11860174781523096,0.8127448958548155
Simple,0.4846938775510204,0.4846938775510204,0.33727810650887574,0.33727810650887574,0.29141104294478526,0.29141104294478526,0.1171634121274409,0.1171634121274409,0.11374197831378624,0.11374197831378624,0.11860174781523096,0.11860174781523096,1.0,0.13227250124316262
LLM4SZZ,0.2656364974245769,0.2656364974245769,0.3652550529355149,0.3652550529355149,0.41092636579572445,0.41092636579572445,0.8189105858170607,0.8189105858170607,0.782443553492298,0.782443553492298,0.8127448958548155,0.8127448958548155,0.13227250124316262,1.0
