 ,Proportion_ColdStart,Proportion_ColdStart+,Proportion_Increment,Proportion_Increment+,Proportion_MovingWindow,Proportion_MovingWindow+,SZZ_B,SZZ_B+,SZZ_RA,SZZ_RA+,SZZ_U,SZZ_U+,Simple
Proportion_ColdStart,1.0,1.0,0.9704142011834319,0.9704142011834319,0.9552752293577982,0.9552752293577982,0.5297699594046008,0.5385656292286874,0.5205198358413132,0.5205198358413132,0.5507915567282322,0.5507915567282322,0.3810650887573965
Proportion_ColdStart+,1.0,1.0,0.9704142011834319,0.9704142011834319,0.9552752293577982,0.9552752293577982,0.5297699594046008,0.5385656292286874,0.5205198358413132,0.5205198358413132,0.5507915567282322,0.5507915567282322,0.3810650887573965
Proportion_Increment,0.9704142011834319,0.9704142011834319,1.0,1.0,0.9444444444444444,0.9444444444444444,0.5149051490514905,0.5237127371273713,0.5065113091158328,0.5065113091158328,0.5343007915567283,0.5343007915567283,0.3926829268292683
Proportion_Increment+,0.9704142011834319,0.9704142011834319,1.0,1.0,0.9444444444444444,0.9444444444444444,0.5149051490514905,0.5237127371273713,0.5065113091158328,0.5065113091158328,0.5343007915567283,0.5343007915567283,0.3926829268292683
Proportion_MovingWindow,0.9552752293577982,0.9552752293577982,0.9444444444444444,0.9444444444444444,1.0,1.0,0.5409614082599865,0.5497630331753555,0.5297334244702666,0.5297334244702666,0.5606860158311345,0.5606860158311345,0.3744186046511628
Proportion_MovingWindow+,0.9552752293577982,0.9552752293577982,0.9444444444444444,0.9444444444444444,1.0,1.0,0.5409614082599865,0.5497630331753555,0.5297334244702666,0.5297334244702666,0.5606860158311345,0.5606860158311345,0.3744186046511628
SZZ_B,0.5297699594046008,0.5297699594046008,0.5149051490514905,0.5149051490514905,0.5409614082599865,0.5409614082599865,1.0,0.9909027291812457,0.9335640138408304,0.9335640138408304,0.9402390438247012,0.9402390438247012,0.21623512946116166
SZZ_B+,0.5385656292286874,0.5385656292286874,0.5237127371273713,0.5237127371273713,0.5497630331753555,0.5497630331753555,0.9909027291812457,1.0,0.9305364511691885,0.9305364511691885,0.9488711819389111,0.9488711819389111,0.22533240027991602
SZZ_RA,0.5205198358413132,0.5205198358413132,0.5065113091158328,0.5065113091158328,0.5297334244702666,0.5297334244702666,0.9335640138408304,0.9305364511691885,1.0,1.0,0.9111994698475812,0.9111994698475812,0.21689334287759485
SZZ_RA+,0.5205198358413132,0.5205198358413132,0.5065113091158328,0.5065113091158328,0.5297334244702666,0.5297334244702666,0.9335640138408304,0.9305364511691885,1.0,1.0,0.9111994698475812,0.9111994698475812,0.21689334287759485
SZZ_U,0.5507915567282322,0.5507915567282322,0.5343007915567283,0.5343007915567283,0.5606860158311345,0.5606860158311345,0.9402390438247012,0.9488711819389111,0.9111994698475812,0.9111994698475812,1.0,1.0,0.21381142098273573
SZZ_U+,0.5507915567282322,0.5507915567282322,0.5343007915567283,0.5343007915567283,0.5606860158311345,0.5606860158311345,0.9402390438247012,0.9488711819389111,0.9111994698475812,0.9111994698475812,1.0,1.0,0.21381142098273573
Simple,0.3810650887573965,0.3810650887573965,0.3926829268292683,0.3926829268292683,0.3744186046511628,0.3744186046511628,0.21623512946116166,0.22533240027991602,0.21689334287759485,0.21689334287759485,0.21381142098273573,0.21381142098273573,1.0
